osmid,u,v,length,speed_kph,travel_time
1451132518,1933747709,1933747650,157.91048492621385,60.0,9.47462909557283
1105722780,1933747718,1933747726,16.320920420085553,60.0,0.9792552252051331
"[1421120184, 1232427889, 281822788, 1465195720]",1933747718,11733963376,728.3626104283139,60.0,43.701756625698835
1307000836,1933747726,1933747709,7.56131839965452,60.0,0.4536791039792712
"[1246933722, 1246933724]",1933747726,1933747766,130.20196632044718,60.0,7.81211797922683
385316437,1933747761,1933747766,8.01392743273886,60.0,0.4808356459643316
"[1246933725, 1105722781]",1933747761,1933747709,128.2808891614364,60.0,7.696853349686183
1117140914,1933747763,1933747761,7.302497488032948,60.0,0.43814984928197687
1117140916,1933747763,8375859795,174.45096925666303,60.0,10.467058155399782
1117140915,1933747766,1933747763,8.164012356337558,60.0,0.48984074138025346
183009507,1933747766,1933747841,385.38849816343844,60.0,23.123309889806304
"[31377795, 269475431]",1933747841,22283853,348.40091206685946,60.0,20.904054724011566
183009506,1933747841,1933747763,387.7727219199489,60.0,23.26636331519693
1242526077,1933747841,12450726569,805.862605579238,60.0,48.35175633475428
183489893,1938742454,223647,15.530323696232685,60.0,0.931819421773961
198373107,1938742454,254980945,21.630479810366054,60.0,1.2978287886219633
362775816,1938742454,3670328123,134.2035354867607,60.0,8.05221212920564
1427682383,1938764342,308207,31.21916598100018,60.0,1.8731499588600107
184191490,1938764346,1938764342,17.95960955679202,60.0,1.077576573407521
331203712,1938764354,1938764346,20.41237619400045,60.0,1.224742571640027
184191762,1938764354,6906567507,202.89155922507558,60.0,12.173493553504533
183491309,1938764356,26056565,20.33182995663103,60.0,1.2199097973978617
407177415,1938764356,1938764361,18.346063946920303,60.0,1.1007638368152182
60863895,1938764356,308206,27.882905190130053,60.0,1.672974311407803
183491313,1938764361,1938764354,56.54827838127989,60.0,3.392896702876793
407177415,1938764361,1938764356,18.346063946920303,60.0,1.1007638368152182
161258374,1938863616,1938863619,56.44673293998247,60.0,3.386803976398948
183501845,1938863617,1938863616,14.583338384714299,60.0,0.8750003030828579
369695673,1938863617,438081397,49.401273167885165,60.0,2.9640763900731097
"[161258374, 595712718, 37450800, 839396564, 369695672, 369695673]",1938863619,1938863620,169.19317605268006,60.0,10.151590563160802
183501843,1938863619,1938863620,14.577833854205972,60.0,0.8746700312523582
369695673,1938863620,1938863617,56.44841040404892,60.0,3.386904624242935
178602844,1941331901,3723904197,39.710568040046724,60.0,2.382634082402803
"[172435305, 1234240602]",1941331903,306607,181.77884423817702,60.0,10.90673065429062
"[1234568940, 1210977317, 216687335]",1941331903,306604,64.53069530659897,60.0,3.871841718395938
183893512,1943113439,25893806,13.080352777661364,60.0,0.7848211666596818
183912267,1943343027,301550076,742.5050209186007,110.0,24.30016432097239
